"State.Code","2022-01-03","2022-01-04","2022-01-05","2022-01-07","2022-01-10","2022-01-11","2022-01-12","2022-01-13","2022-01-14","2022-01-19","2022-01-21","2022-01-24","2022-01-25","2022-01-26","2022-01-27","2022-01-28","2022-02-01","2022-02-04","2022-02-07"
"CT",1.82737954335753,26.9889901788189,13.4663815579732,14.7877175354779,14.7314904726053,29.912797448191,29.912797448191,29.8846839167547,33.5394430034698,35.957206706989,47.5118681272958,48.6926364476192,75.259923654894,75.259923654894,88.5576240242496,88.5857375556859,88.5857375556859,96.9635699236943,96.9635699236943
"RI",0,158.164833865437,75.0147806550786,71.5147215324583,75.0147806550786,57.5144850419771,54.9603878443893,50.9873477592527,94.8799810807615,150.97552323519,152.299869930235,151.070119427693,142.84025067991,141.421307792361,118.056048244058,94.312403925742,93.6502305782192,119.380394939104,117.015490126522
"KY",0,73.0805576904221,36.2722572399895,48.0205376022028,60.14851523848,66.5363634962614,66.5363634962614,89.2288594050233,80.1384599612575,83.131367886232,148.483969292765,168.65259508569,181.807988875317,164.922627746356,164.810952077514,167.558173531035,223.083316079443,240.460050151309,240.393044750004
"TX",2.62935982002373,28.7935335731614,19.5158442600207,20.7113174424408,42.6487612258253,41.3681403808396,48.3127837396847,50.495969807865,50.2882095112051,68.1590009304596,96.5063607517776,115.654367109515,118.494893132701,111.342489477196,113.695970870508,112.07475937526,148.391940412712,176.303344201695,177.624835924712
"WA",0,0.519911843747774,0.259955921873887,1.55973553124332,4.15929474998219,4.17229254607589,15.9223002147756,21.1864076327218,25.982594391295,55.7735430380425,68.9923016653296,114.627563750291,123.804007792439,125.220767566651,129.211090967416,130.471877188504,131.849643574436,160.652759718062,185.920475324204
"NE",0,0,15.4834554117773,20.6446072157031,20.5929956976639,29.831457426691,35.9216165553234,37.9344657588545,38.7086385294433,61.7273755749523,88.3589188832093,97.1328769498832,96.8748193596869,105.493942872243,100.436014104396,98.9908915992964,98.9908915992964,121.648348018531,133.828666275795
"NC",0.188664597078925,14.0743789420878,10.7255823439369,10.6312500453974,13.508385150851,22.9227485450894,31.7522516883831,35.3463122627366,69.8153341490562,74.7206136731082,97.916925883962,101.878882422619,103.557997336622,102.878804787138,103.275000441003,116.094759812516,130.961530062336,147.413082927618,158.553727385128
"VT",0,0,0,0,0,12.8339432130098,19.2509148195147,63.8488674847236,91.9231182631825,153.526045685629,161.707684483923,161.065987323273,160.263865872459,159.461744421646,158.980471551159,213.043457335962,253.791227037268,252.66825700613,252.026559845479
"MO",0,0,6.17730691526751,14.6304637466862,19.5072849955816,46.6549232810993,50.0361860136668,51.4342081050168,63.7888219355518,111.549158033067,111.305316970623,111.988071945468,121.562897664133,121.026447326754,120.668813768502,137.380054581383,149.815948766067,160.756284434422,160.463675159488
"NV",0,0,0,0,0,0,29.7935893755104,51.4297895744105,73.639556199791,116.210930965226,125.993425016864,124.145266531539,127.618529891892,122.456432053569,136.763727914108,147.119788392226,153.747667098222,178.187969826582,186.56841261349
"WV",0,8.96465516613467,4.48232758306734,4.48232758306734,21.2910560195698,31.152176702318,36.7550861811522,41.5175592381612,60.1192187078906,75.8073652486263,85.9486314053161,156.041028985532,136.991136757495,136.767020378342,142.369929857176,112.450393240202,131.78043094218,135.982613051305,152.679283298231
"OK",0,14.2183083076872,6.80770592117179,6.12944739766021,34.4907019548667,33.1341849078435,40.0423735732392,38.0578393748165,32.2298402098281,26.2511169285038,61.36983603477,69.3079728284611,87.7465563935537,88.5755390334012,88.1484873704495,107.089484656662,126.105844001042,147.784996067357,169.614872250007
"MN",0,4.8786161416439,4.91396843252538,10.0046983194581,16.4564914053278,19.7972828936274,26.79703648816,30.4206463035114,35.3169385905961,40.3369638957659,72.6843100523179,91.3149673468565,96.0698504704153,98.4031016685928,104.147848936833,103.918059046103,103.104956355829,161.294827146741,162.196310564219
"OH",0,0,0,0,0,15.0172531648049,17.5828431132339,19.7208347369248,21.7134429302047,45.0945193268884,60.5650267159157,60.4196432855047,62.6003947416695,62.2412121488894,60.736066045811,67.6717108730643,69.3478963060379,81.209473834275,83.5356087208507
"UT",0,50.2172542423887,29.2318575553121,29.2318575553121,33.5089398712998,51.5711508028453,51.4480692973492,52.4327213413176,88.9571580972707,124.220009421889,124.404631680133,123.727683399905,137.020485993479,129.758677169212,134.989641152794,140.40522739462,137.543582391837,183.26836168362,184.80688050232
"MD",0,18.2965030891036,8.63634577220325,8.38864943074427,17.3552569915595,62.8157921939984,62.8157921939984,67.6045881288721,66.7624205679116,99.2436674778997,136.034830729274,138.065940729238,140.790600485287,146.850904306316,157.567899346775,154.034098208627,156.59362707037,236.219744304718,242.164456499734
"MA",0,0,0,0,2.901252673867,6.07812435175136,28.1131384097712,47.5225187979414,63.0297143397605,64.610897047018,65.4377540590701,65.6698542729794,59.5046923410121,59.156542020148,62.3044011712937,61.9852633771684,61.492050422611,61.622606792935,61.2744564720709
